Entidad_federativa,Municipio,Tipo_de_Fuente,SO_2,CO,NOx,COV,PM_010,PM_2_5,NH_3
Sonora,Opodepe,Fuentes móviles carreteros,0.516,68.365,18.358,5.868,1.863,1.71,0.092
Sonora,Opodepe,Fuentes móviles que no circulan por carretera,1.975,26.676,151.082,8.818,5.49,5.111,0.009
Sonora,Opodepe,Fuentes naturales,,,48.274,165.451,,,
Sonora,Oquitoa,Fuentes de área,0.016,3.747,0.189,5.622,2.687,0.83,2.455
Sonora,Oquitoa,Fuentes móviles carreteros,0.062,10.873,2.183,0.902,0.125,0.114,0.014
Sonora,Oquitoa,Fuentes móviles que no circulan por carretera,0.984,13.791,28.042,2.827,2.346,2.276,0.009
Sonora,Oquitoa,Fuentes naturales,,,40.542,118.913,,,
Sonora,Pitiquito,Fuentes fijas,1194.287,363.822,2569.551,83.251,166.676,151.502,48.919
Sonora,Pitiquito,Fuentes de área,0.099,27.091,2.732,113.932,24.82,7.055,47.268
Sonora,Pitiquito,Fuentes móviles carreteros,1.006,171.301,36.662,15.079,2.486,2.278,0.22
Sonora,Pitiquito,Fuentes móviles que no circulan por carretera,1.845,22.202,108.387,6.047,4.383,4.114,0.009
Sonora,Pitiquito,Fuentes naturales,,,36.612,110.429,,,
Sonora,Puerto Peñasco,Fuentes de área,0.224,62.941,15.386,883.801,14.616,9.899,87.772
Sonora,Puerto Peñasco,Fuentes móviles carreteros,21.67,3029.988,781.876,274.656,70.38,64.593,4.216
Sonora,Puerto Peñasco,Fuentes móviles que no circulan por carretera,3.629,131.552,291.678,35.757,8.894,8.16,0.009
Sonora,Puerto Peñasco,Fuentes naturales,,,38.698,64.257,,,
Sonora,Quiriego,Fuentes de área,15.455,1782.162,53.785,165.713,261.113,170.946,133.907
Sonora,Quiriego,Fuentes móviles carreteros,0.439,53.53,15.55,4.587,1.732,1.59,0.074
Sonora,Quiriego,Fuentes móviles que no circulan por carretera,1.151,15.325,32.805,3.194,2.638,2.558,0.01
Sonora,Quiriego,Fuentes naturales,,,125.195,3301.631,,,
Sonora,Rayón,Fuentes de área,0.286,73.87,3.13,41.525,60.751,18.053,40.381
Sonora,Rayón,Fuentes móviles carreteros,0.537,73.448,19.18,6.364,1.87,1.717,0.099
Sonora,Rayón,Fuentes móviles que no circulan por carretera,1.045,14.352,29.783,2.961,2.453,2.379,0.009
Sonora,Rayón,Fuentes naturales,,,66.343,313.994,,,
Sonora,Rosario,Fuentes de área,80.349,8803.278,263.139,682.004,985.455,776.086,388.911
Sonora,Rosario,Fuentes móviles carreteros,1.07,120.656,37.138,10.423,4.426,4.066,0.171
Sonora,Rosario,Fuentes móviles que no circulan por carretera,1.196,15.741,34.099,3.293,2.717,2.635,0.01
Sonora,Rosario,Fuentes naturales,,,120.641,2463.05,,,
Sonora,Sahuaripa,Fuentes fijas,86.756,285.539,1322.459,85.109,30.739,0.143,0
Sonora,Sahuaripa,Fuentes de área,14.295,1613.914,50.12,183.932,177.477,145.491,79.386
Sonora,Sahuaripa,Fuentes móviles carreteros,1.048,140.948,37.559,12.215,3.592,3.297,0.19
Sonora,Sahuaripa,Fuentes móviles que no circulan por carretera,1.057,14.456,30.108,2.986,2.473,2.399,0.009
Sonora,Sahuaripa,Fuentes naturales,,,55.712,2900.903,,,
Sonora,San Felipe de Jesús,Fuentes de área,0.078,24.368,0.924,14.822,17.13,5.288,7.041
Sonora,San Felipe de Jesús,Fuentes móviles carreteros,0.052,11.774,1.887,1.053,0.017,0.015,0.015
Sonora,San Felipe de Jesús,Fuentes móviles que no circulan por carretera,0.999,13.93,28.472,2.86,2.373,2.302,0.009
Sonora,San Felipe de Jesús,Fuentes naturales,,,90.023,596.062,,,
Sonora,San Javier,Fuentes de área,7.074,768.236,22.913,66.08,87.046,67.189,14.23
Sonora,San Javier,Fuentes móviles carreteros,0.184,37.693,6.79,3.123,0.277,0.252,0.045
Sonora,San Javier,Fuentes móviles que no circulan por carretera,0.979,13.747,27.904,2.816,2.338,2.268,0.008
Sonora,San Javier,Fuentes naturales,,,93.841,2470.7,,,
Sonora,San Luis Río Colorado,Fuentes fijas,0.351,1.347,3.058,191.031,2.542,1.882,0.049
Sonora,San Luis Río Colorado,Fuentes de área,4.967,1134.624,74.763,2696.652,627.554,352.222,505.723
Sonora,San Luis Río Colorado,Fuentes móviles carreteros,64.013,8713.982,2386.281,792.671,202.369,185.733,12.16
Sonora,San Luis Río Colorado,Fuentes móviles que no circulan por carretera,4.726,52.277,323.355,15.438,11.2,10.413,0.022
Sonora,San Luis Río Colorado,Fuentes naturales,,,84.137,349.083,,,
Sonora,San Miguel de Horcasitas,Fuentes de área,0.512,211.976,7.616,138.27,88.011,32.902,68.381
Sonora,San Miguel de Horcasitas,Fuentes móviles carreteros,1.121,130.274,44.21,11.51,3.819,3.507,0.18
Sonora,San Miguel de Horcasitas,Fuentes móviles que no circulan por carretera,1.506,19.12,67.58,4.547,3.56,3.395,0.011
Sonora,San Miguel de Horcasitas,Fuentes naturales,,,98.218,390.156,,,
Sonora,San Pedro de la Cueva,Fuentes de área,0.094,21.098,1.213,25.615,12.646,4.312,24.52
Sonora,San Pedro de la Cueva,Fuentes móviles carreteros,0.337,46.924,12.084,4.031,1.162,1.066,0.063
Sonora,San Pedro de la Cueva,Fuentes móviles que no circulan por carretera,1,13.94,28.503,2.862,2.375,2.303,0.009
Sonora,San Pedro de la Cueva,Fuentes naturales,,,47.305,2447.313,,,
Sonora,Santa Ana,Fuentes fijas,0,0,0,0.001,2.455,1.486,0
Sonora,Santa Ana,Fuentes de área,0.277,70.336,5.964,250.063,122.264,26.221,58.958
Sonora,Santa Ana,Fuentes móviles carreteros,9.764,1140.262,339.035,101.198,39.075,35.889,1.642
Sonora,Santa Ana,Fuentes móviles que no circulan por carretera,1.546,19.839,84.957,5.012,3.83,3.617,0.009
Sonora,Santa Ana,Fuentes naturales,,,70.825,225.597,,,
Sonora,Santa Cruz,Fuentes fijas,1.159,1.02,4.08,0,57.392,0.237,0.163
Sonora,Santa Cruz,Fuentes de área,0.104,39.4,1.506,24.028,9.562,4.793,18.944
Sonora,Santa Cruz,Fuentes móviles carreteros,0.516,68.69,18.423,5.956,1.864,1.711,0.093
Sonora,Santa Cruz,Fuentes móviles que no circulan por carretera,1.961,24.479,134.927,6.81,5.024,4.684,0.009
Sonora,Santa Cruz,Fuentes naturales,,,38.272,196.174,,,
Sonora,Sáric,Fuentes de área,2.128,247.285,7.606,37.195,29.113,22.018,16.197
Sonora,Sáric,Fuentes móviles carreteros,0.465,59.934,16.568,5.181,1.741,1.599,0.082
Sonora,Sáric,Fuentes móviles que no circulan por carretera,0.991,13.85,28.225,2.841,2.358,2.287,0.009
Sonora,Sáric,Fuentes naturales,,,62.331,190.985,,,
Sonora,Soyopa,Fuentes de área,66.805,7248.796,215.605,519.265,736.011,620.913,93.284
Sonora,Soyopa,Fuentes móviles carreteros,0.19,31.948,6.831,2.582,0.485,0.445,0.039
